start_time	end_time	duration_seconds	step	exit_code	status	log_file
2026-07-25 08:04:36 SAST	2026-07-25 08:04:39 SAST	3	00-check-prerequisites.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/00-check-prerequisites.log
2026-07-25 08:04:39 SAST	2026-07-25 08:05:49 SAST	70	01-install-brew.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/01-install-brew.log
2026-07-25 08:05:49 SAST	2026-07-25 08:12:17 SAST	388	02-install-cli-tools.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/02-install-cli-tools.log
2026-07-25 08:12:17 SAST	2026-07-25 08:13:45 SAST	88	03-install-npm-globals.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/03-install-npm-globals.log
2026-07-25 08:13:45 SAST	2026-07-25 08:13:54 SAST	9	04-install-pip-packages.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/04-install-pip-packages.log
2026-07-25 08:13:54 SAST	2026-07-25 08:13:54 SAST	0	05-setup-dotfiles.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/05-setup-dotfiles.log
2026-07-25 08:13:54 SAST	2026-07-25 08:13:55 SAST	1	06-setup-claude.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/06-setup-claude.log
2026-07-25 08:13:55 SAST	2026-07-25 08:13:55 SAST	0	07-setup-1password.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/07-setup-1password.log
2026-07-25 08:13:55 SAST	2026-07-25 08:13:56 SAST	1	08-setup-gemini.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/08-setup-gemini.log
2026-07-25 08:13:56 SAST	2026-07-25 08:17:37 SAST	221	14-install-codex-skills.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/14-install-codex-skills.log
2026-07-25 08:17:37 SAST	2026-07-25 08:17:38 SAST	1	10-check-paths.sh	0	ok	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/10-check-paths.log
2026-07-25 08:17:38 SAST	2026-07-25 08:17:49 SAST	11	12-smoke-test.sh	1	failed(1)	/Users/carlo/Library/Logs/dev-env-bootstrap/bootstrap-20260725-080435-9HttVl/12-smoke-test.log
